================================================================================
ENCRYPTED FIRMWARE DEEP ANALYSIS
Learning secrets from encrypted code WITHOUT decryption
================================================================================

================================================================================
SECTION 1: FIRMWARE STRUCTURE MAP
================================================================================

Even though the code is encrypted, the FIRMWARE STRUCTURE reveals
what ME does. Different modules have different encryption patterns
because they encrypt at different times with different IVs.

Offset   Size     Entropy  0x00%   0xFF%   Type                 Region
0x230800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x230C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x231400    1024    3.561   52.1%    0.0%  CODE/DATA             CERTS
0x231800    1024    2.857   65.5%    0.0%  CODE/DATA             CERTS
0x231C00    1024    1.814   14.6%   71.7%  CODE/DATA             CERTS
0x232000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x232400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x232800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x232C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x234000    1024    7.543    8.7%    0.5%  ENCRYPTED(v2)         CERTS
0x237000    1024    3.144   66.1%    2.6%  CODE/DATA             CERTS
0x237400    1024    2.876   66.3%    4.7%  CODE/DATA             CERTS
0x237800    1024    3.163   65.9%    0.7%  CODE/DATA             CERTS
0x237C00    1024    2.149   77.3%    0.1%  CODE/DATA             CERTS
0x238000    1024    5.583   38.8%    0.2%  MIXED                 CERTS
0x23C000    1024    7.582    7.6%    0.2%  ENCRYPTED(v2)         CERTS
0x23F800    1024    3.097   62.7%    0.1%  CODE/DATA             CERTS
0x23FC00    1024    3.186   60.4%    0.1%  CODE/DATA             CERTS
0x240000    1024    2.587   67.6%    0.5%  CODE/DATA             CERTS
0x240400    1024    2.948   62.7%    0.0%  CODE/DATA             CERTS
0x240C00    1024    2.838   65.9%    1.3%  CODE/DATA             CERTS
0x242C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x243000    1024    0.182    0.7%   98.2%  EMPTY/ERASED          CERTS
0x243400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x243800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x243C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x244000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x244400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x244800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x244C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x248000    1024    7.577    7.9%    0.0%  ENCRYPTED(v2)         CERTS
0x24AC00    1024    0.721    6.4%   90.2%  EMPTY/ERASED          CERTS
0x24B000    1024    3.164   64.0%    3.5%  CODE/DATA             CERTS
0x24C000    1024    7.418   10.9%    0.3%  ENCRYPTED(v1)         CERTS
0x24C800    1024    0.355   96.9%    0.0%  EMPTY/ERASED          CERTS
0x24CC00    1024    0.355   96.9%    0.0%  EMPTY/ERASED          CERTS
0x24D400    1024    3.341   61.4%    0.8%  CODE/DATA             CERTS
0x24F000    1024    0.182    0.7%   98.2%  EMPTY/ERASED          CERTS
0x24F400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x24F800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x24FC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x250000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x250400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x250800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x250C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x254000    1024    7.661    6.0%    0.3%  ENCRYPTED(v2)         CERTS
0x255800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x255C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x256000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x256400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x256800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x256C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x258000    1024    7.294   13.6%    0.5%  ENCRYPTED(v1)         CERTS
0x25B000    1024    0.182    0.7%   98.2%  EMPTY/ERASED          CERTS
0x25B400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x25B800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x25BC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x25C000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x25C400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x25C800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x25CC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x25E800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x25EC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x25F000    1024    0.180    0.7%   98.2%  EMPTY/ERASED          CERTS
0x25F400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x25F800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x25FC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x260000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x260400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x260800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x260C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x261000    1024    0.182    0.7%   98.2%  EMPTY/ERASED          CERTS
0x261400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x261800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x261C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x262000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x262400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x262800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x262C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x264000    1024    6.654   24.1%    0.3%  COMPRESSED            CERTS
0x265000    1024    0.182    0.7%   98.2%  EMPTY/ERASED          CERTS
0x265400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x265800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x265C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x266000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x266400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x266800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x266C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x268000    1024    7.017   18.3%    0.6%  ENCRYPTED(v1)         CERTS
0x26B400    1024    3.683   53.1%    0.0%  CODE/DATA             CERTS
0x26B800    1024    3.057   63.7%    0.1%  CODE/DATA             CERTS
0x26BC00    1024    3.146   58.1%    0.0%  CODE/DATA             CERTS
0x26C000    1024    3.499   52.6%    0.0%  CODE/DATA             CERTS
0x26C400    1024    3.379   57.8%    0.0%  CODE/DATA             CERTS
0x270000    1024    7.012   19.1%    0.4%  ENCRYPTED(v1)         CERTS
0x271000    1024    0.180    0.7%   98.2%  EMPTY/ERASED          CERTS
0x271400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x271800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x271C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x272000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x272400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x272800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x272C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x273400    1024    3.563   59.2%    0.7%  CODE/DATA             CERTS
0x273800    1024    3.062   69.2%    0.2%  CODE/DATA             CERTS
0x274000    1024    7.116   16.5%    0.5%  ENCRYPTED(v1)         CERTS
0x278000    1024    7.238   14.6%    0.6%  ENCRYPTED(v1)         CERTS
0x279000    1024    0.180    0.7%   98.2%  EMPTY/ERASED          CERTS
0x279400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x279800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x279C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x27A000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x27A400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x27A800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x27AC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x27B000    1024    1.093   90.1%    0.0%  CODE/DATA             CERTS
0x27C000    1024    6.875   20.9%    0.2%  COMPRESSED            CERTS
0x27D000    1024    0.182    0.7%   98.2%  EMPTY/ERASED          CERTS
0x27D400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x27D800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x27DC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x27E000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x27E400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x27E800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x27EC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x27F000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x27F400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x27F800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x27FC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x280000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x280400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x280800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x280C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x281000    1024    3.856   48.6%    0.6%  CODE/DATA             CERTS
0x281400    1024    0.262    0.7%   97.5%  EMPTY/ERASED          CERTS
0x281800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x281C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x282000    1024    2.336   12.9%   64.7%  CODE/DATA             CERTS
0x282400    1024    3.377   37.2%    0.2%  CODE/DATA             CERTS
0x282800    1024    3.376   30.6%   18.9%  CODE/DATA             CERTS
0x282C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x283000    1024    0.151    0.9%   98.4%  EMPTY/ERASED          CERTS
0x283400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x283800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x283C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x284000    1024    4.246   34.6%    0.3%  MIXED                 CERTS
0x284400    1024    1.085    4.6%   86.8%  CODE/DATA             CERTS
0x284800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x284C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x285000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x285400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x285800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x285C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x286000    1024    0.164    1.1%   98.2%  EMPTY/ERASED          CERTS
0x286400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x286800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x286C00    1024    0.045    0.1%   99.6%  EMPTY/ERASED          CERTS
0x287000    1024    0.141    1.1%   98.4%  EMPTY/ERASED          CERTS
0x287400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x287800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x287C00    1024    0.045    0.0%   99.6%  EMPTY/ERASED          CERTS
0x288000    1024    0.141    1.1%   98.4%  EMPTY/ERASED          CERTS
0x288400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x288800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x288C00    1024    0.045    0.0%   99.6%  EMPTY/ERASED          CERTS
0x289400    1024    2.009   18.0%   64.3%  CODE/DATA             CERTS
0x28A400    1024    2.009   18.0%   64.3%  CODE/DATA             CERTS
0x28B400    1024    2.006   18.0%   64.3%  CODE/DATA             CERTS
0x28C000    1024    0.141    1.1%   98.4%  EMPTY/ERASED          CERTS
0x28C400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x28C800    1024    0.022    0.0%   99.8%  EMPTY/ERASED          CERTS
0x28CC00    1024    0.045    0.0%   99.6%  EMPTY/ERASED          CERTS
0x28D000    1024    0.141    1.1%   98.4%  EMPTY/ERASED          CERTS
0x28D400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x28D800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x28DC00    1024    0.045    0.0%   99.6%  EMPTY/ERASED          CERTS
0x28E000    1024    0.141    1.1%   98.4%  EMPTY/ERASED          CERTS
0x28E400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x28E800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x28EC00    1024    0.045    0.0%   99.6%  EMPTY/ERASED          CERTS
0x28F000    1024    0.141    1.1%   98.4%  EMPTY/ERASED          CERTS
0x28F400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x28F800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x28FC00    1024    0.045    0.0%   99.6%  EMPTY/ERASED          CERTS
0x290000    1024    6.470   13.4%   13.3%  COMPRESSED            CERTS
0x290400    1024    1.994   17.9%   64.5%  CODE/DATA             CERTS
0x291400    1024    2.005   18.1%   64.3%  CODE/DATA             CERTS
0x293400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x293800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x293C00    1024    0.045    0.0%   99.6%  EMPTY/ERASED          CERTS
0x294000    1024    4.011   43.3%    0.5%  MIXED                 CERTS
0x295800    1024    2.748   59.7%    0.0%  CODE/DATA             CERTS
0x295C00    1024    2.132   70.4%    5.6%  CODE/DATA             CERTS
0x296000    1024    0.000  100.0%    0.0%  EMPTY/ERASED          CERTS
0x296400    1024    0.000  100.0%    0.0%  EMPTY/ERASED          CERTS
0x296800    1024    0.433   91.1%    8.9%  EMPTY/ERASED          CERTS
0x296C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x297000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x297400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x297800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x297C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x298000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x298400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x298800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x298C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x299000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x299400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x299800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x299C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x29A000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x29A400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x29A800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x29AC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x29B000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x29B400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x29B800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x29BC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x29C000    1024    5.356   14.3%    0.0%  MIXED                 CERTS
0x29D400    1024    3.967    9.5%    0.0%  CODE/DATA             CERTS
0x29D800    1024    0.000    0.0%    0.0%  EMPTY/ERASED          CERTS
0x29DC00    1024    0.000    0.0%    0.0%  EMPTY/ERASED          CERTS
0x29E000    1024    0.000    0.0%    0.0%  EMPTY/ERASED          CERTS
0x29E400    1024    0.000    0.0%    0.0%  EMPTY/ERASED          CERTS
0x29E800    1024    0.000    0.0%    0.0%  EMPTY/ERASED          CERTS
0x29EC00    1024    0.000    0.0%    0.0%  EMPTY/ERASED          CERTS
0x29F000    1024    2.436   57.6%   24.5%  CODE/DATA             CERTS
0x29F400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x29F800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x29FC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          CERTS
0x2A0000    1024    2.377   58.3%   24.5%  CODE/DATA             NFTP_ENC
0x2A0400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          NFTP_ENC
0x2A0800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          NFTP_ENC
0x2A0C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          NFTP_ENC
0x2A1000    1024    0.828   12.7%   84.8%  EMPTY/ERASED          NFTP_ENC
0x2A1400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          NFTP_ENC
0x2A1800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          NFTP_ENC
0x2A1C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          NFTP_ENC
0x2A4000    1024    7.775    0.5%    0.8%  ENCRYPTED(v2)         NFTP_ENC
0x2A8000    1024    7.716    2.4%    0.8%  ENCRYPTED(v2)         NFTP_ENC
0x2AC000    1024    7.801    0.8%    0.5%  ENCRYPTED(v2)         NFTP_ENC
0x2B0000    1024    7.720    1.9%    0.1%  ENCRYPTED(v2)         NFTP_ENC
0x2B4000    1024    7.774    0.5%    0.0%  ENCRYPTED(v2)         NFTP_ENC
0x2B8000    1024    7.612    5.5%    0.1%  ENCRYPTED(v2)         NFTP_ENC
0x2BC000    1024    7.682    4.5%    0.2%  ENCRYPTED(v2)         NFTP_ENC
0x2C0000    1024    7.759    0.7%    0.4%  ENCRYPTED(v2)         NFTP_ENC
0x2C4000    1024    7.584    0.8%    0.5%  ENCRYPTED(v2)         NFTP_ENC
0x2C8000    1024    7.434    0.1%    0.5%  ENCRYPTED(v1)         NFTP_ENC
0x2CC000    1024    7.662    0.7%    1.0%  ENCRYPTED(v2)         NFTP_ENC
0x2D0000    1024    7.594    0.5%    1.4%  ENCRYPTED(v2)         NFTP_ENC
0x2D4000    1024    7.627    0.9%    1.4%  ENCRYPTED(v2)         NFTP_ENC
0x2D8000    1024    7.562    0.6%    0.2%  ENCRYPTED(v2)         NFTP_ENC
0x2DC000    1024    7.433    6.1%    0.8%  ENCRYPTED(v1)         NFTP_ENC
0x2E0000    1024    7.609    0.5%    0.4%  ENCRYPTED(v2)         NFTP_ENC
0x2E4000    1024    7.612    0.3%    0.1%  ENCRYPTED(v2)         NFTP_ENC
0x2E8000    1024    7.313    1.1%    0.0%  ENCRYPTED(v1)         NFTP_ENC
0x2EC000    1024    7.791    0.2%    0.3%  ENCRYPTED(v2)         NFTP_ENC
0x2F0000    1024    7.531    2.4%    5.3%  ENCRYPTED(v2)         NFTP_ENC
0x2F4000    1024    7.773    0.9%    0.5%  ENCRYPTED(v2)         NFTP_ENC
0x2F8000    1024    7.623    5.2%    0.7%  ENCRYPTED(v2)         NFTP_ENC
0x2FC000    1024    7.802    0.4%    0.2%  ENCRYPTED(v2)         NFTP_ENC
0x300000    1024    7.815    0.4%    0.0%  ENCRYPTED(v2)         NFTP_ENC
0x304000    1024    7.820    0.8%    0.3%  ENCRYPTED(v2)         NFTP_ENC
0x308000    1024    7.818    0.3%    0.4%  ENCRYPTED(v2)         NFTP_ENC
0x30C000    1024    7.829    0.2%    0.8%  ENCRYPTED(v2)         NFTP_ENC
0x310000    1024    7.818    0.7%    0.0%  ENCRYPTED(v2)         NFTP_ENC
0x314000    1024    7.787    0.3%    0.2%  ENCRYPTED(v2)         NFTP_ENC
0x318000    1024    7.814    0.4%    0.5%  ENCRYPTED(v2)         NFTP_ENC
0x31C000    1024    7.807    0.4%    0.6%  ENCRYPTED(v2)         NFTP_ENC
0x320000    1024    7.636    2.3%    0.5%  ENCRYPTED(v2)         NFTP_ENC
0x324000    1024    7.602    6.1%    0.4%  ENCRYPTED(v2)         NFTP_ENC
0x328000    1024    7.755    0.2%    0.2%  ENCRYPTED(v2)         NFTP_ENC
0x32C000    1024    7.788    0.5%    0.5%  ENCRYPTED(v2)         NFTP_ENC
0x330000    1024    7.725    0.3%    1.1%  ENCRYPTED(v2)         NFTP_ENC
0x334000    1024    7.721    0.4%    1.0%  ENCRYPTED(v2)         NFTP_ENC
0x338000    1024    7.803    0.5%    0.7%  ENCRYPTED(v2)         NFTP_ENC
0x33C000    1024    7.790    0.8%    0.2%  ENCRYPTED(v2)         NFTP_ENC
0x340000    1024    7.755    0.2%    0.3%  ENCRYPTED(v2)         NFTP_ENC
0x344000    1024    7.649    4.2%    0.3%  ENCRYPTED(v2)         NFTP_ENC
0x348000    1024    7.776    1.1%    0.6%  ENCRYPTED(v2)         NFTP_ENC
0x34C000    1024    7.657    3.7%    0.5%  ENCRYPTED(v2)         NFTP_ENC
0x350000    1024    7.759    0.4%    0.6%  ENCRYPTED(v2)         DATA
0x354000    1024    7.708    0.4%    0.3%  ENCRYPTED(v2)         DATA
0x358000    1024    7.703    0.2%    0.2%  ENCRYPTED(v2)         DATA
0x35C000    1024    7.517    3.4%    5.7%  ENCRYPTED(v2)         DATA
0x35D800    1024    2.992    3.4%   68.8%  CODE/DATA             DATA
0x35DC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x35E000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x35E400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x35E800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x35EC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x35F000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x35F400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x35F800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x35FC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x360000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x360400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x360800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x360C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x361000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x361400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x361800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x361C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x362000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x362400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x362800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x362C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x363000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x363400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x363800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x363C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x364000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x364400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x364800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x364C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x365000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x365400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x365800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x365C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x366000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x366400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x366800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x366C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x367000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x367400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x367800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x367C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x368000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x368400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x368800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x368C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x369000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x369400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x369800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x369C00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x36A000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x36A400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x36A800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x36AC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x36B000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x36B400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x36B800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x36BC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x36C000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x36C400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x36C800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x36CC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x36D000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x36D400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x36D800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x36DC00    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x36E000    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x36E400    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
0x36E800    1024    0.000    0.0%  100.0%  EMPTY/ERASED          DATA
